Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM4818610,0.0546954406514299,0,0,0.121395256651242,0,0,0.127006982692381,0.0226353213848495,0,0.00821981482472339,0,0.00537427108368133,0,0,0.0870057758521709,0.208593987158123,0.127202831902252,0.0266885054440986,0.00212316910080836,0.105071921731992,0.0164849066084354,0.0875018149138122,0.014,0.428303459273816,0.901224177637643
GSM4818611,0.0687283601013086,0,0.124192921044699,0.127622331523916,0,0.0813156211234919,0.0608593608294428,0.0418242479162416,0.0160322754887861,0,0,0.028871160757199,0,0.147671512243381,0.125645226880965,0.10496667613778,0,0,0.0467219684965047,0,0.00793518106482161,0.0176131563914628,0.003,0.553485042648246,0.838205057512452
GSM4818612,0.0176451138180031,0,0.0832666967265296,0.00394585024146235,0.0304755231450911,0,0.0842547815516383,0,0.0104454396886488,0.0137237637329113,0.0428532103616769,0,0,0.2289422407073,0.0565554902621544,0.208716705941451,0,0.0388372253998947,0,0.136502820419616,0,0.0438351380036221,0.321,0.119875430382083,1.06519499821339
GSM4818613,0.0119635323525609,0,0.101060106919652,0.0150556496230316,0,0,0,0,0,0.0803903223697301,0,0.084609675917649,0.0282139085538046,0.0181079064203459,0.0358403546005616,0.100756848008204,0.206824922309127,0.0542573395241958,0.241697357375811,0,0,0.0212220760253258,0.129,0.219819741562874,0.979399052600116
GSM4818614,0.0552384342169887,0,0,0.0591514619237986,0,0,0.0865223931737803,0,0,0.0963404162184953,0,0.021358997968518,0,0.0290686196131058,0.059287639518109,0.256834552181556,0.117503501085995,0,0.143791350299075,0,0.0581418597577481,0.0167607740428301,0.021,0.391494949912389,0.919259844869569
GSM4818615,0.0409240193153841,0,0.0293542403458944,0.105361205575259,0,0.0024285902664929,0.138041116485409,0,0,0,0.0192776756878324,0,0,0.209375692372448,0.118478055048407,0.129658356855456,0.142584508315878,0,0,0.00333581847448518,0.0368550035050185,0.0243257177520348,0.005,0.523103464544024,0.852513272312578
GSM4818616,0.0418977020112773,0,0.131326850842083,0.0619404267422224,0.0141481921118296,0,0.0104423028329577,0,0,0.0753760425353596,0,0.0331368979951891,0,0,0,0.268514507527138,0.190891636908259,0.00326849877502937,0.0774561895258446,0.00356582140466239,0.0251160166132595,0.062918914174888,0.123,0.225236723866735,0.976965426978176
GSM4818617,0.0164510848334737,0,0.30736884716132,0.0622699514067528,0,0.0149869428526417,0.082299227054679,0.0027169836557761,0,0,0.00581319201360722,0,0,0,0.0142206411739847,0.0763713042889684,0.0870806824610693,0.0347161483919635,0.115873562121388,0.0342904941553479,0,0.145540938429028,0.104,0.236953720694532,0.97230683217743
GSM4818618,0.00865555206404127,0,0,0,0,0,0.00938976534605025,0.0248130475383459,0.00832854689711794,0.0759903318784836,0,0,0,0.322904691615104,0.00654244666445519,0.126495634514134,0.135410046704557,0,0.0967665725972526,0,0.133115327875174,0.0515880363052846,0,0.681883382098279,0.759618017748541
GSM4818619,0.073386998939816,0,0,0.138623741066819,0,0,0.15815587579076,0.0453271501835495,0,0,0.0339397185662713,0,0,0,0.0539190609645664,0.139614336190711,0.189347346479454,0.050877344957022,0.0892351628782796,0,0.00415050673445062,0.0234227572482996,0.014,0.43677784471251,0.902210899318929
GSM4818620,0,0.00532969697856289,0,0.0141259031126374,0,0,0,0,0.0170789135768928,0.0921563183425049,0,0,0,0.455904451768626,0.0102593692357591,0.117420707040931,0.00248646994517398,0,0,0.157348070487754,0.0909210186143887,0.0369690808967703,0,0.664777705515386,0.745349618524301
GSM4818621,0.0021266513668041,0.00707308110552993,0.0254571814309421,0.132577112228923,0,0,0.0565294071770388,0,0,0.192529585908126,0,0.0594847465593207,0,0.00320162432103244,0.155665533447127,0.201537925868573,0.0873040336454902,0,0.0360789886475025,0,0.0147021126323902,0.0257320156612006,0.00900000000000001,0.477484911030839,0.879963969747504
GSM4818622,0.0116794822663292,0,0,0.011843355283964,0.0433903501999506,0.0509822503627899,0.12793853001347,0,0,0,0.0632193670341202,0.0191524691838973,0,0,0.0148299390135752,0.0927958875636733,0.325437791604281,0,0.0556460865124183,0.100365851953392,0,0.0827186390081391,0.158,0.201750907968847,0.989012823125046
GSM4818623,0.0246171120474403,0,0.0467657585609961,0.0683920543284419,0.0233963014590672,0,0.0540307598075025,0,0,0.178682877601284,0,0,0,0,0.0439449789225471,0.37732263415152,0.125332729016675,0,0,0,0.0245130703072527,0.0330017237972729,0.038,0.333991780941567,0.941583599119347
GSM4818624,0.023837000145475,0,0.0753653042371638,0.0128564689672372,0,0.00690280697012114,0.0407551887720816,0,0,0.0944727653515098,0,0.00554381921628797,0,0,0.0230480912908477,0.15663941914721,0.265135192417327,0,0.261809394855979,0,0.0209574008588414,0.0126771477699185,0.296,0.128690515070712,0.999954011961664
GSM4818625,0.0645671264228418,0,0,0.0261156850312577,0,0.0173064248980742,0.171070605583706,0,0,0.0758087538729884,0,0.0148713766419878,0,0,0.0927902754512523,0.149915047560019,0.189473183761375,0,0.138341591508267,0,0.0159356989115451,0.0438042303566857,0.03,0.35555961738121,0.932228033703373
