,HNSCC_P1,HNSCC_P2,HNSCC_P3,HNSCC_P4,HNSCC_P6,HNSCC_P7,HNSCC_P8,HNSCC_P9,HNSCC_P10,HNSCC_P11,HNSCC_P12,HNSCC_P13,HNSCC_P14,HNSCC_P15,HNSCC_P16,HNSCC_P17,HNSCC_P18,HNSCC_P19,HNSCC_P20,HNSCC_P21,HNSCC_P22,HNSCC_P23,HNSCC_P24,HNSCC_P25,HNSCC_P26
C7orf49,0.110906691427616,0.0284978987291951,0.123420826167297,0.0290456975225737,0.0897701337713657,0.0,0.144424795602197,0.0659242758221763,0.0685427886459214,0.0191456042242671,0.0821863771284074,0.0,0.167257782012092,0.0963567411795732,0.0779298222460112,0.0622108341009926,0.0682300418342329,0.104090139288814,0.0667420085761422,0.13205097807902,0.130098191096847,0.036606341845115,0.073537992359063,0.0382655917991184,0.0
C7orf73,0.332446762961306,0.20317078563274,0.187124293454791,0.318135223272055,0.13888751379541,0.364105587007075,0.249256796611734,0.206417754942877,0.158897292418083,0.194619437724464,0.108771890572822,0.0635250352593059,0.294587616288546,0.0734828873459456,0.238622067885371,0.0,0.233903200783228,0.176820801614322,0.157092921580194,0.170542814893352,0.208336660737232,0.13546601922775,0.25958202456159,0.27238717266836,0.756692446318752
AC090498.1,1.09337313432934,0.76639902425977,0.831847183668771,1.02441510418284,0.989243063094582,0.905663157649682,1.51092401640941,1.00644877063298,0.737224531087904,1.31626856495437,0.815993706453274,0.517456460353724,1.08566513700246,0.872346813555188,1.18895661684734,0.531779998351735,1.05801451101128,1.13088680921321,0.466252513922787,0.665226746795091,0.788471266061103,0.673850708498173,1.15712332438559,0.761937492111032,1.84009813168256
C7orf55,0.0994203296586992,0.0916020984472802,0.157067372783026,0.466384893315852,0.193949950413727,0.0,0.144424795602197,0.104227787651967,0.182340421577582,0.15283221916566,0.149137636679935,0.0136723996357679,0.13241633637501,0.0,0.112871100341985,0.0747674857429982,0.0601466420599372,0.146767143027879,0.0894474788549346,0.151397742919829,0.158275546801144,0.0704073692282001,0.144856951493268,0.145504967992319,0.0
JHDM1D.dash.AS1,0.0144563776825747,0.0045660636984635,0.0,0.0,0.0066844747036296,0.0,0.0,0.0162705436678857,0.0103965157039359,0.0155980210172475,0.0139342197548673,0.0,0.0,0.0,0.0,0.0,0.0125611398974197,0.0054111580936969,0.0026784370692817,0.0,0.0049185318753499,0.0119356216393113,0.0188441279545334,0.0,0.0
AC093673.5,0.0333582418359348,0.0157850489756256,0.0,0.0579634229228732,0.0,0.0,0.0,0.0394737574320725,0.0243666083874142,0.046687652078535,0.0308125258172157,0.0,0.0238565796605211,0.0,0.0,0.0,0.0876023985346932,0.0178593261057833,0.015456925997654,0.0160782373683194,0.0139779323373251,0.0043576227503303,0.0083317244218197,0.0152190783434249,0.0
RP11.dash.511P7.5,0.0718062801271688,0.0613597536662406,0.0,0.0587812736787972,0.062555104770265,0.0,0.0,0.0903092802883013,0.0557788025622273,0.0505663833805207,0.0877442797811274,0.121048752561025,0.0301862515120548,0.0532911079311908,0.0805804460169032,0.0622108341009926,0.0336860898892298,0.174392266067789,0.0380127521628839,0.0641381671072103,0.0779585049691239,0.0450031475916829,0.142645079249485,0.0992901481023556,0.0
RP11.dash.706O15.1,0.0131627041138452,0.0106544377649388,0.0484937795962602,0.0988033957965766,0.0,0.0,0.0,0.0111928266725084,0.0028553566564074,0.0052096581490769,0.0,0.0,0.0,0.0,0.0,0.0,0.0277604152009215,0.0,0.0078846483452904,0.0221152831662733,0.0426773535300379,0.0,0.0200898565741473,0.0185772007743224,0.0
CXorf23,0.002725824515849,0.0157043711418049,0.0,0.0,0.0107090879755915,0.0,0.0,0.0151394772927254,0.0022909790060165,0.0165438005569879,0.0,0.0150297131137828,0.0,0.0,0.0,0.0,0.02112494999181,0.0,0.001765918515976,0.0,0.0215926004805871,0.0045247689835353,0.0150210784910705,0.0083642603932479,0.0
RP13.dash.188A5.1,0.0535007683883388,0.0349999509138379,0.0,0.0697576982740029,0.0687607802653825,0.100347592893933,0.0,0.0208721239624977,0.0405181882372855,0.0415554989933853,0.0,0.0444149429902824,0.0673994389696271,0.0,0.17462235900981,0.0,0.0,0.0433859855914392,0.0099649915210738,0.0290988515660611,0.0193774021662024,0.035352049261808,0.0361603812784198,0.0277552021515077,0.0
LINC01420,0.324071984284573,0.190383354342186,0.187948074614316,0.388945865512471,0.206753446798882,0.268666210331565,0.147403354521112,0.295439430946218,0.223567253206543,0.188413936055067,0.210625280994124,0.0272404584376034,0.20536358764251,0.128558831964861,0.147322115941192,0.121227288233443,0.186862640680232,0.174805729506312,0.213912807579921,0.332586717116861,0.221451202917138,0.177637054205419,0.156969402844875,0.272218979541406,0.0
RP5.dash.1091N2.9,0.03044393804112,0.0177564862218083,0.162897856791311,0.0290456975225737,0.0053578924399516,0.0,0.0,0.011512399327156,0.0057935500940897,0.0255283093991912,0.0036465185616599,0.0,0.0,0.0963567411795732,0.105230065314628,0.0,0.0164591506178387,0.0432889546812852,0.0095812555661805,0.0106560923616527,0.0246047353991355,0.0069248741309238,0.0517416113190534,0.0,0.0
WBP5,0.0598159039475729,0.0414803813491392,0.0,0.0579634229228732,0.106900197587466,0.0,0.0,0.0760067997419015,0.0874613138131402,0.0437050521985542,0.0544712467789353,0.0147586025091576,0.0817096275632586,0.0963567411795732,0.249074194822142,0.0,0.111345779515312,0.0136517516287588,0.0283805954774168,0.0810471580184232,0.0354642662949367,0.105254681336118,0.0,0.0491541271220433,0.0
NGFRAP1,0.0467334535725191,0.0484263264148413,0.0,0.0,0.0154220543934851,0.11725207009029,0.0,0.0895578044061935,0.0389827660057782,0.0878034317273672,0.034764514092082,0.0122195273704576,0.0238565796605211,0.0,0.0693922936951812,0.0,0.0790094843174701,0.0143758510951311,0.0483262829838288,0.0617171317211135,0.0485507586290241,0.0466097589811979,0.0,0.0617095431262424,0.0
SEPT6,0.307009524181828,0.232623738637968,0.121569867879395,0.642171865912333,0.262498353622933,0.541694881521765,0.686401873576916,0.239715893061922,0.248271362002823,0.359785484851149,0.241112238627505,0.151899535681966,0.225279027451022,0.316568438693007,0.32185259477692,0.309912987612922,0.39792714632185,0.440661611229927,0.258318082238139,0.426900795316018,0.325067455658526,0.207538744216981,0.313502836847597,0.304206226811487,0.739069957110454
