,HNSCC_P1,HNSCC_P2,HNSCC_P3,HNSCC_P4,HNSCC_P6,HNSCC_P7,HNSCC_P8,HNSCC_P9,HNSCC_P10,HNSCC_P11,HNSCC_P12,HNSCC_P13,HNSCC_P14,HNSCC_P15,HNSCC_P16,HNSCC_P17,HNSCC_P18,HNSCC_P19,HNSCC_P20,HNSCC_P21,HNSCC_P22,HNSCC_P23,HNSCC_P24,HNSCC_P25,HNSCC_P26
COPS8,0.335286946747182,0.286341583263984,0.239399159529096,0.224174156638166,0.0807201985906017,0.219037517469986,0.252931765395585,0.241308900674265,0.203779767793607,0.256939051827092,0.280391806963071,0.073517075248827,0.297375788401065,0.172322627523671,0.259643761366986,0.188513197390963,0.160779626574717,0.0,0.551539210167685,0.124822191544821,0.234301445741948,0.262781400807179,0.0982140387460276,0.251058579829052,0.355576455345116
COL6A3,0.042742394045963,0.037759071731619,0.0,0.0302304393629102,0.0230304056478362,0.0158535052870463,0.0,0.0153653559318521,0.0,0.0212248496864794,0.0,0.0467482636391977,0.0,0.0,0.0110514041434556,0.0126372213759513,0.0100327631918712,0.0,0.0,0.0,0.0,0.0471539097758651,0.0,0.0768963411096279,0.0148169986668129
LRRFIP1,0.897756191956562,0.777426194871287,0.382003806175953,0.700663964226222,0.784363496616027,0.891819789951742,0.699586888408332,0.81312429747749,0.690495498031754,0.758656664778598,0.812316737478702,0.613176080431127,0.572105701119028,0.498099371369064,0.571007333267986,0.676587155954703,0.688151675842454,0.825081320157541,0.563246401056826,0.732484564681773,0.586572446654277,0.66312948076223,0.382626765585305,0.69886714563619,0.908091203672152
RAMP1,0.535931728762215,0.116559128838444,0.279863915984279,0.0569559309573353,0.175572531936147,0.0181432694437636,0.144679602541895,0.0183874752254994,0.0,0.0467449225733402,0.130992741098363,0.179810100069126,0.0,0.297141693030707,0.193741913115531,0.110814671253713,0.0659969701849685,0.159317048091093,0.0,0.322846979532584,0.0,0.261118842064672,0.121325985998295,0.230472099231207,0.282818275478919
UBE2F,0.53873645480592,0.41221044911307,0.409662089687298,0.351960992495181,0.945501878331229,0.311764429086996,0.667988471534602,0.249760506426508,0.381560086321209,0.25136957926671,0.439598851680648,0.445166675303584,0.135353944119067,0.428873300235443,0.489582713692172,0.394529693990463,0.382405268684988,0.339445269398884,0.63574472571744,0.817142961999737,0.300191605120009,0.46137737035571,0.364975506817655,0.522581147419147,0.476286958938732
SCLY,0.0,0.0417008660656773,0.0234078513888822,0.0256831769100426,0.0,0.030183066418895,0.0,0.0273645236457122,0.0,0.0286264293004516,0.0541667416390141,0.0389890415551457,0.0292073736836567,0.0,0.0,0.0449639308429673,0.0344318203248219,0.07254591037097,0.0,0.0,0.0,0.022066413697573,0.0,0.0328905013210565,0.0
ILKAP,0.153354235772882,0.194452248689147,0.268836773525919,0.162956029274621,0.256880776231896,0.158517037741977,0.20791314626696,0.21421820933739,0.0,0.190915443603356,0.0727664323763577,0.0814739461370118,0.176936097971213,0.161286503122873,0.226217604605648,0.152573800001317,0.189594955663827,0.0,0.38581742298836,0.0,0.193203414224481,0.0900069580952188,0.13374774228401,0.0786210279792505,0.294294156928779
HES6,0.0451197063804341,0.0,0.115285089153434,0.0649395160751023,0.0491249316562183,0.0838666616070178,0.106458928716129,0.0779518059736373,0.0,0.0336704476896303,0.0,0.210760929564692,0.168126780135432,0.0918868454752853,0.146415686381383,0.100976017547008,0.034750028411712,0.0,0.0,0.109334025593456,0.124713144808344,0.0947270201803895,0.0,0.0321589202329753,0.117625643730273
PER2,0.0431495252138271,0.0,0.0,0.0487700857768357,0.0230304056478362,0.0514770217945734,0.0,0.0599104738178791,0.0,0.0658671376629638,0.0278844806828166,0.034888387346185,0.0826291262604012,0.0297135896392399,0.0174770728164648,0.0374509092103184,0.0241193290987389,0.0,0.0,0.0,0.0,0.0464403484008225,0.0,0.0078196382394927,0.0681553593145091
ASB1,0.197269407417512,0.0921811845290299,0.058929128156125,0.196825229928526,0.0,0.105025115990545,0.188561038488456,0.11717936131089,0.0,0.0659887490668478,0.171280608252197,0.0,0.0839875712004538,0.1294717013794,0.100418229572358,0.169590213996275,0.0844204117334567,0.175923554566378,0.372403204377211,0.212722308599678,0.0489286131348835,0.179404460487495,0.0,0.131802294627332,0.115905446793024
HDAC4,0.0,0.0693428787577108,0.0250484892690452,0.0,0.0636647455094722,0.0399887170518738,0.102353920577616,0.0378423498961929,0.0,0.0452844595595091,0.0980311635530336,0.0,0.0,0.0969894269542199,0.0,0.0714473468270657,0.0278157310786364,0.0,0.0,0.0,0.055999910164314,0.0,0.136824316440127,0.109934673080793,0.0202348838584211
NDUFA10,0.381942652808808,0.389636592363736,0.169229287992213,0.21932754107782,0.286627511799177,0.344665328643698,0.419900150194552,0.291825816498622,0.215672955781386,0.265175481904499,0.250462022233001,0.336839304758212,0.241134718586114,0.165702513168496,0.306054838208775,0.332833402758554,0.27783317907558,0.225019789572154,0.32315164382634,0.664788615225689,0.469220830652694,0.535224190823613,0.413810163190399,0.311993605580125,0.38529070567712
ANKMY1,0.042011211651385,0.0453936507480377,0.0,0.0269081668161684,0.135721021122204,0.0344835599704933,0.0537059330790505,0.0222341372460523,0.0,0.0294304693615853,0.0,0.0851216522894488,0.106046584897066,0.0292403533193849,0.0527917542842701,0.0735226550296784,0.0396627789588956,0.0,0.0,0.0,0.0441700234884226,0.0641595319034876,0.0,0.0582746233184206,0.0
DUSP28,0.0845402510695054,0.0,0.0979607478666586,0.0894127784683519,0.0955091335240036,0.12554691118607,0.0510587202372889,0.0700248752747771,0.0,0.045407380874034,0.11363384265733,0.0360211434871055,0.0719436018154647,0.0261882003910774,0.0497349315244876,0.114050538137682,0.0576662463611513,0.0,0.0,0.0,0.0454912087535459,0.0687939898879014,0.0,0.0312681678177121,0.0671879657768375
RNPEPL1,0.0982833318130026,0.0735486399307139,0.210622700627851,0.245951928960819,0.273063710787206,0.301805518680572,0.3091181781993,0.125256919102163,0.0,0.236605756660123,0.208457042804904,0.184319189247578,0.101697132732174,0.265624922948316,0.380331473146507,0.359490099953032,0.270713973629883,0.555579953327132,0.207699690639142,0.0,0.110972903657305,0.152650566933771,0.416077814829251,0.195349668816787,0.344067461738239
CAPN10,0.0,0.0,0.0837226407227898,0.078892223234309,0.0,0.132750418002878,0.0535073073259116,0.0357786576087638,0.203779767793607,0.0874147645468416,0.0448819516935411,0.0398540025908081,0.0,0.146284966537265,0.0570621831867606,0.0355981087039397,0.0457482579903271,0.0,0.168567431041774,0.0,0.0703368597719415,0.0497390024320537,0.0,0.0408087260924434,0.0369730478661706
MTERF4,0.166360686870502,0.107944816320395,0.258120403968948,0.222959032130273,0.184048996004432,0.196647321124594,0.158325531071298,0.147513748231029,0.0,0.108276888694314,0.194426428799807,0.142738305650789,0.333409323948338,0.0938156528293971,0.172389820653749,0.243843426676396,0.16650823808837,0.0871002741881849,0.22708250552005,0.210178154639227,0.199189049143718,0.101049309400097,0.0,0.178338196751229,0.283852009215233
PASK,0.0367836647477654,0.0700061671115164,0.0776547045735234,0.0241653139709916,0.051289556313329,0.0342207484861718,0.0,0.0158897013930388,0.0,0.0284693655532569,0.0693638368593554,0.0,0.0356924402142463,0.0,0.0,0.0166067890715741,0.0091299185547413,0.0885138642858213,0.154584212784565,0.0,0.0842565895838015,0.0257883711398122,0.0,0.0130784551982616,0.0334449319834219
PPP1R7,0.463987581202131,0.531762149881433,0.351451262741896,0.305709818586656,0.2398736077445,0.348371497355409,0.481271252765256,0.417220206083658,0.17923333547033,0.319859600195371,0.342719663018344,0.358456214861933,0.392273336509071,0.448567872180626,0.303735109303673,0.386409773152128,0.368115197574173,0.32533253355101,0.909629863703421,0.403123042800282,0.621890645992159,0.434497540023384,0.126908526483819,0.187076519889148,0.519568647164584
HDLBP,0.172055903729943,0.183331182080032,0.144966938217403,0.134150249958337,0.0460645580524306,0.176353988872763,0.0515306806116583,0.145881272423035,0.217881476238229,0.206443790340136,0.166032407737509,0.17752237555105,0.122387168002103,0.174542270684401,0.123431837402476,0.113179314019041,0.0908376200907234,0.0,0.0,0.197465635953427,0.173354280240352,0.0702551510458931,0.121325985998295,0.095681982328174,0.199797690538633
STK25,0.158769184122997,0.172845664269054,0.15556453043287,0.246720597566427,0.199010403904802,0.226241302019786,0.252941944665488,0.157048478285119,0.192206089193635,0.158742619546609,0.211740049948063,0.0833624760539542,0.246979590086787,0.11042796705932,0.153936935875121,0.194798211144105,0.14391289569643,0.213390254499199,0.207699690639142,0.0915431768413062,0.198056640388455,0.125756598817537,0.126908526483819,0.115119240964491,0.0611229627332287
BOK,0.0289208752559642,0.0416576248050969,0.0301888495633489,0.0333894008651469,0.0,0.0418668866737517,0.204553049871966,0.0323201189266921,0.0,0.0200418554673596,0.115062121773009,0.0,0.0485842361192706,0.0,0.0602117521738546,0.0307728203964602,0.0752452810679139,0.0,0.0,0.0,0.0,0.0460534112939793,0.0,0.0453618625684797,0.0
THAP4,0.116318450644014,0.0496850177759442,0.0929052770353349,0.0215545037142195,0.0230341524045944,0.13017784187681,0.0498889241407464,0.059773088252287,0.0,0.0699829012992331,0.0563028884442015,0.118012608630165,0.0443936173064905,0.0270206075795104,0.0163926845839292,0.0626918203362002,0.0736263568864683,0.07254591037097,0.358419986120002,0.101385358594148,0.0827846692979497,0.0568332543595622,0.0,0.0747096332607341,0.0828141775124457
ATG4B,0.190238370288593,0.0382561101907917,0.156075901484223,0.145032139098775,0.213730580158444,0.095215280495481,0.220998171225409,0.179499197279337,0.0,0.1956923664528,0.169886414232788,0.211749440576891,0.0678456453104462,0.141188974959609,0.200333666407448,0.11802373705629,0.174248800836654,0.24216960469916,0.59930447974617,0.0,0.264128163213703,0.187787137116745,0.0,0.170792454248858,0.18191064038554
DTYMK,0.206146418785938,0.213752023944199,0.126308775552499,0.0659858314809472,0.132529640894473,0.102091708058842,0.176952108364378,0.255303834251966,0.0,0.0701117613534228,0.212411533500081,0.150241021685169,0.0697109625164533,0.0264334814792573,0.126082396510402,0.121239302150791,0.122035578798336,0.131323511653667,0.0,0.11863497779792,0.228818885988532,0.0919973381164573,0.497949931992624,0.171237734142856,0.167290013152943
