,HNSCC_P1,HNSCC_P2,HNSCC_P3,HNSCC_P4,HNSCC_P6,HNSCC_P7,HNSCC_P8,HNSCC_P9,HNSCC_P10,HNSCC_P11,HNSCC_P12,HNSCC_P13,HNSCC_P14,HNSCC_P15,HNSCC_P16,HNSCC_P17,HNSCC_P18,HNSCC_P19,HNSCC_P20,HNSCC_P21,HNSCC_P22,HNSCC_P23,HNSCC_P24,HNSCC_P25,HNSCC_P26
CHCHD1,0.0,0.104592081908419,0.132672767678844,0.101784906027012,0.267284485156017,0.339559762752187,0.0,0.330346637018361,0.0,0.328512768068029,0.221926657982819,0.0,0.0933810575623303,0.336992570025368,0.0986938598555972,0.0,0.0,0.161889155731571,0.177369533075489,0.180960171184705,0.156982387961274,0.0,0.134589757970274,0.171154079785722,0.0
AP3M1,0.0,0.0,0.186534924419738,0.0310418807568042,0.0488242826321864,0.0,0.0,0.328295093914533,0.0,0.0,0.217750133385243,0.0,0.0,0.0,0.0967536659819815,0.109338447708532,0.0,0.0849400063726432,0.110013587772116,0.100196993146517,0.0596048955387929,0.0,0.0720455037125889,0.238322677392108,0.0
ADK,0.901229806744006,0.256943249835201,0.440792351639115,0.0819390028753718,0.354910841490339,0.727231628236804,0.471096621820634,0.0,0.0,0.356283623086665,0.291136426782316,0.570125143471021,0.202728698162226,0.0,0.33742655220971,1.26895175326316,0.198278090481373,0.192764022241472,0.306122413305816,0.344686847440691,0.271261874030328,0.0,0.294367641810773,0.0,0.193799355822072
VDAC2,1.36743249345227,0.546200087101098,1.09843590933014,0.298295529037805,0.527292320842285,0.339559762752187,1.01155800038925,0.764476919160625,0.433806769315612,0.328512768068029,0.512301998985237,1.21514762151631,0.226317324088563,1.1153626704699,0.256435846494122,0.452650363626289,0.63391923132875,0.492444404253905,0.605104465943198,0.493669747558822,0.49146961715638,0.443386028970475,0.371677262192349,0.314841326447961,0.578350282617463
RPS24,3.95493005594934,3.52652384436543,3.15618656901495,3.63660715740983,3.32035386089896,3.34066332446823,3.32687923953473,2.77481410310903,3.20417599316763,2.72927255299803,2.27791689235761,2.60452952606511,2.8738692865216,3.20393110274825,3.41147023005981,3.04772608807886,3.22774535328187,2.97416592334573,3.01961369266506,3.32071385653071,3.28838188070884,2.99886375300636,2.94122094682912,3.23737437505267,3.44421396162958
EIF5AL1,0.0,0.101814909810867,0.158032967153012,0.0711570715395275,0.0510686517439882,0.0,0.0,0.328295093914533,0.344467201375085,0.0,0.0,0.0,0.0933810575623303,0.253443892372606,0.186917967947661,0.0,0.0,0.0463957786977518,0.0,0.0607295367105484,0.110627390917568,0.858141313113633,0.0650149526365926,0.238322677392108,0.0
NUTM2B.dash.AS1,0.0,0.193636965619153,0.0,0.332441735473815,0.311173332983229,0.397860895674444,0.471096621820634,0.0,0.778273970690697,0.279453785455041,0.443001273788499,0.0,0.11757165219149,0.269257630537775,0.191553598688294,0.109338447708532,0.503775174564409,0.167631565185527,0.189493986664936,0.273475014111163,0.297190738366468,0.443386028970475,0.232952364452974,0.0,0.315053298807809
ANXA11,0.0,0.385962921649055,0.647363513477928,0.23242690478589,0.385267810696518,0.339559762752187,0.540461378568613,0.0,1.15162882983511,0.0,0.43599338862913,0.0,0.253723909960695,0.0,0.327008586287353,0.909161482946191,0.471160994201037,0.398331718547749,0.35270718435959,0.502830082715047,0.418149452697752,0.820136626184821,0.415394087610734,0.694189443201701,0.378279237787128
GHITM,0.0,0.308793502456265,0.445678359950285,0.287265263319155,0.495193246721491,0.0,1.09365650605492,0.602163080565329,0.510219605169147,0.0,0.0,0.0,0.747071351580219,0.606250200563144,0.310408866170616,0.174801840712141,0.0,0.497548192286828,0.580620863678923,0.545137024239132,0.512397798903122,0.924776744869762,0.446812176550533,0.186391318006949,0.536456407156103
WAPL,0.0,0.0832712486398611,0.181210962364646,0.150393105178206,0.161217168643477,0.387671865484617,0.0,0.0,0.344467201375085,0.0,0.20711297349549,0.0,0.11789311956429,0.0,0.0,0.109338447708532,0.237083626065558,0.263409372556862,0.183790956345042,0.179829950281023,0.1251242289752,0.0,0.121415468956974,0.226419335943474,0.148400536726525
GLUD1,0.0,0.0,0.15497262511843,0.197054383969867,0.127320525846722,0.0,0.540461378568613,0.0,0.0,0.279453785455041,0.224032327313013,0.0,0.352052269765688,0.269257630537775,0.0,0.174801840712141,0.0,0.236773265734093,0.173518968886282,0.208883215737634,0.139352205065675,0.0,0.202164891633271,0.464742013335582,0.0
